,custId,sex,isElderly,partner,dependents,membershipDuration,agreementTerm,acquisitionChannel,phoneService,multipleLines,internetService,monthlyDataUsageGb,cyberProtectionService,onlineBackup,deviceProtection,techSupport,streamingTv,streamingMovies,recurringFee,cumulativeSpend,transactionMethod,paperlessBilling,billingIssues,supportTickets,lastContactRating,serviceSatisfactionScore,mobileAppSatisfaction,networkStabilityScore,avgNetworkLatencyMs,dataLimitWarnings,loyaltyPoints,customerFeedback,competitorOffers,custExit
6148,Xp15659,Male,No,No,No,34,Month-to-month,Store,Yes,No,DSL,66.64,No,Yes,No,No,No,No,49.8,1734.2,Electronic check,Yes,Yes,3,5,3,4,3.7,95,No,1454,"I have been a customer with this DSL internet service provider for 34 months now and I am very satisfied with the service. The monthly charges are reasonable at $49.8 and I appreciate the flexibility of the month-to-month contract. The payment method of electronic check is convenient and hassle-free. Overall, I have had no issues with the service and have no plans to churn. I would recommend this provider to others looking for reliable DSL internet service.",Yes,No
2521,V80454,Female,No,Yes,Yes,18,Two year,Online,Yes,Yes,No,56.83,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,25.1,428.45,Mailed check,No,No,No,Yes,4,3,1.6,104,No,727,"I have been a customer with this company for 18 months now and I have not experienced any issues with them. The monthly charges are affordable at $25.1 and I appreciate the option to pay by mailing a check. Even though I do not have internet service with them, I am satisfied with the overall service and plan to continue with them for the remainder of my two-year contract.",No,No
5964,f94121,Female,No,Yes,No,72,Two year,Store,Yes,Yes,Fiber optic,73.46,Yes,Yes,Yes,Yes,No,No,97.0,7104.2,Bank transfer (automatic),Yes,Yes,No,4,3,2,6.7,106,2,775,"I have been a customer with this company for 6 years now and I have been extremely satisfied with the service I have received. The fiber optic internet service is fast and reliable, and the automatic bank transfer payment method makes it easy for me to pay my bill every month. The monthly charges of $97.0 are reasonable for the quality of service I receive. I have had no issues with churn and plan on continuing to be a loyal customer in the future.",Yes,No
170,S84598,Male,No,Yes,No,43,One year,Online,Yes,No,Fiber optic,14.7,Yes,Yes,Yes,Yes,No,No,84.25,3539.25,Bank transfer (automatic),Yes,Yes,No,3,5,4,Yes,10,Yes,664,"I have been with this internet service provider for over three years now and I have been extremely satisfied with their fiber optic internet service. The speed and reliability have been top-notch, and I have experienced very few outages. The automatic bank transfer payment method is convenient and hassle-free. The monthly charges of $84.25 are reasonable for the quality of service I am receiving. Overall, I have no complaints and would highly recommend this provider to others.",No,No
6991,x79120,Female,Yes,No,No,30,Month-to-month,Online,Yes,Yes,Fiber optic,23.33,No,Yes,No,No,Yes,Yes,99.7,2967.35,Electronic check,Yes,No,Yes,3,5,2,3.8,10,Yes,892,"I have been a customer with this company for 30 months and unfortunately I have decided to churn. While the fiber optic internet service was reliable and fast, the monthly charges of $99.7 were becoming too costly for me, especially since I was on a month-to-month contract. I also found the payment method of electronic check to be inconvenient at times. Overall, I had a positive experience with the service itself but ultimately had to switch providers due to the high cost.",Yes,Yes
5322,U20348,Male,No,No,No,9,Month-to-month,Online,Yes,Yes,Fiber optic,47.15,No,Yes,No,No,Yes,No,85.35,758.6,Electronic check,Yes,No,Yes,Yes,4,Yes,3.3,70,Yes,280,"I recently canceled my fiber optic internet service after being a customer for 9 months on a month-to-month contract. I was generally satisfied with the service, but I found a better deal with another provider. The monthly charges of $85.35 were reasonable for the speed and reliability I received. I appreciated the convenience of paying with electronic check. Overall, I had a positive experience with the service, but ultimately decided to switch providers for a better deal.",No,Yes
1040,zF86693,Male,No,Yes,Yes,20,Month-to-month,Online,Yes,Yes,Fiber optic,63.33,No,Yes,No,Yes,Yes,No,96.8,1826.7,Mailed check,No,No,Yes,Yes,5,4,4.3,83,Yes,1093,"I have been a customer with this fiber optic internet service provider for 20 months now and I am very satisfied with the service. The speed and reliability of the internet connection have been great and have met my needs. The monthly charges of $96.8 are reasonable for the quality of service I am receiving. I appreciate the convenience of being able to pay by mailed check as it fits my preference for payment methods. Overall, I have had a positive experience with this provider and would recommend them to others.",Yes,No
611,S87804,Female,No,Yes,No,72,Two year,Store,Yes,Yes,No,79.88,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,24.15,1776.45,Credit card (automatic),Yes,Yes,2,4,5,4,10,67,3,1053,"I have been a customer with this company for six years now and I have been very satisfied with the service. The automatic payment method makes it convenient for me to pay my bill on time every month. The monthly charges are very reasonable at $24.15. Even though I do not have internet service with this company, I have never had any issues with my service. Overall, I am happy with my experience and have no plans to leave.",No,No
1170,Q44079,Female,No,No,No,Yes,Month-to-month,Referral,Yes,No,No,72.33,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.65,19.65,Mailed check,No,No,No,4,4,4,4.8,40,2,677,"I have been a customer with this company for just one month and so far I have been satisfied with the service. I have a month-to-month contract with monthly charges of $19.65, which is reasonable. However, I do not have internet service with this company. I prefer to pay by mailing in a check and have not had any issues with the payment process. Overall, I am happy with my experience as a customer and have no plans to churn at this time.",Yes,No
6644,N12916,Male,No,No,No,6,Month-to-month,Online,Yes,No,DSL,43.77,Yes,Yes,No,No,No,Yes,59.15,336.7,Bank transfer (automatic),Yes,Yes,3,4,3,Yes,Yes,39,Yes,770,"I have been a customer with this DSL internet service provider for the past 6 months on a month-to-month contract. I have been satisfied with the service overall. The monthly charges of $59.15 are reasonable for the speed and reliability of the internet connection. I appreciate the convenience of automatic bank transfers for payment. I have not experienced any issues with the service that would make me consider switching providers. Overall, I am happy with my experience and would recommend this provider to others.",Yes,No
739,RB87191,Female,No,No,No,11,Month-to-month,Agent,Yes,Yes,Fiber optic,61.19,Yes,Yes,No,No,No,No,79.0,929.3,Bank transfer (automatic),Yes,No,3,5,3,5,Yes,86,No,1216,"I have been a customer with this fiber optic internet service provider for 11 months now and I am very satisfied with the service. The connection has been reliable and the speed is consistently fast. The monthly charges of $79.0 are reasonable for the quality of service I am receiving. I appreciate the convenience of automatic bank transfer for payment, making the process hassle-free. Overall, I have no complaints and would recommend this provider to others.",No,No
2802,y49124,Female,No,No,No,20,Month-to-month,Online,Yes,Yes,Fiber optic,32.58,Yes,Yes,No,No,Yes,No,89.1,1879.25,Bank transfer (automatic),Yes,Yes,Yes,5,3,Yes,5.7,28,3,983,"I have been a customer with this company for 20 months now and I am very satisfied with the service. The fiber optic internet service is fast and reliable. I appreciate the convenience of the automatic bank transfer payment method. The monthly charges of $89.1 are reasonable for the quality of service provided. I have had no issues with the company and have no plans to churn. Overall, I am a happy customer and would recommend this company to others.",No,No
3585,Bx79619,Female,No,Yes,Yes,14,Month-to-month,Online,Yes,No,Fiber optic,49.88,No,Yes,No,No,No,No,70.2,1046.5,Electronic check,No,Yes,2,4,4,4,3.9,24,Yes,944,"I have been a customer with this company for 14 months now and I am very satisfied with the service I have received. The fiber optic internet service is fast and reliable, and I have had no issues with connectivity. The monthly charges of $70.2 are reasonable for the quality of service I am receiving. I appreciate the convenience of paying with electronic check and overall, I have had a positive experience with this provider. I have no plans to churn and will continue to be a customer in the future.",No,No
2089,Fw47528,Female,Yes,Yes,No,Yes,Month-to-month,Online,Yes,Yes,Fiber optic,7.09,No,Yes,No,No,Yes,No,90.6,90.6,Electronic check,Yes,No,No,3,5,5,8.4,48,Yes,485,"I recently switched to this fiber optic internet service provider and unfortunately, I experienced a lot of issues with the connection. Despite paying $90.6 a month for the service, I found that the internet would frequently cut out or slow down significantly. After only 1 month of service, I decided to cancel due to the unreliable connection. I was using electronic check as my payment method, which was convenient but ultimately not worth it for the poor quality of service I received. I would not recommend this provider to others based on my experience.",No,Yes
5458,K12473,Female,No,Yes,Yes,72,Two year,Online,No,No phone service,DSL,61.87,Yes,Yes,Yes,Yes,Yes,Yes,63.8,4684.3,Bank transfer (automatic),Yes,Yes,2,5,3,2,1.4,10,No,825,"I have been a customer with this internet service provider for 6 years now and I have had a positive experience overall. The monthly charges are affordable at $63.8 and the internet service, although DSL, has been reliable for my needs. I appreciate the convenience of the automatic bank transfer payment method. I have not experienced any issues with churn and am satisfied with the two year contract terms. Overall, I would recommend this provider to others looking for a reliable and cost-effective internet service.",No,No
